state,name,lon,lat,region,ID,cluster
NY,Noble Chateaugay,-74.055801,44.905491,NE,37774,8
NY,Orangeville Wind,-78.28439300000002,42.775494,NE,39694,1
NY,Maple Ridge,-75.511299,43.696091,NE,32975,4
NY,Marble River,-73.941399,44.98069,NE,33140,8
NY,Maple Ridge (Lowville),-75.6073,43.81319000000001,NE,32998,4
NY,Noble Bliss,-78.247299,42.54129,NE,37665,1
NY,Jericho Rise,-74.082771,44.883896,NE,26731,8
NY,Noble Wethersfield,-78.245399,42.657192,NE,38050,1
ME,Hancock,-68.11808,44.771362,NE,22682,3
NY,Noble Clinton,-73.995499,44.948193,NE,37797,8
NY,Noble Ellenburg,-73.995399,44.876091,NE,37884,8
NH,Groton,-71.830696,43.780891,NE,22223,7
ME,unknown Hancock County,-68.22518199999999,44.825569,NE,63747,3
NY,High Sheldon,-78.4076,42.724491,NE,23931,1
NY,Orangeville Wind,-78.212296,42.713791,NE,39657,1
NY,Jericho Rise,-74.118935,44.865524,NE,26759,8
NY,Maple Ridge (Lowville),-75.599701,43.81879,NE,32997,4
ME,Stetson Wind expansion,-67.968399,45.616989,NE,54243,3
ME,Hancock,-68.157669,44.766171,NE,22681,3
NY,Maple Ridge (Lowville),-75.605202,43.802891,NE,33017,4
NY,Maple Ridge,-75.534401,43.74799,NE,32952,4
NY,Jericho Rise,-74.098152,44.872025,NE,26761,8
NY,Maple Ridge (Lowville),-75.608299,43.797489,NE,33001,4
NH,Granite Reliable Power,-71.320198,44.790291,NE,21427,3
NY,Noble Altona,-73.650902,44.82159,NE,37602,8
ME,Saddleback Ridge,-70.36657,44.616241,NE,48714,3
NY,Arkwright Summit,-79.231461,42.39780800000001,NE,1750,1
MA,Future Generation Wind,-70.623413,41.781647,NE,19233,0
NY,Noble Chateaugay,-74.028999,44.87619,NE,37713,8
NY,Noble Ellenburg,-74.003799,44.87569000000001,NE,37891,8
ME,Bingham Wind,-69.679024,45.149693,NE,4310,2
ME,Stetson Wind expansion,-67.958702,45.595989,NE,54234,3
MA,Falmouth II,-70.621498,41.609291,NE,17363,0
ME,Bingham Wind,-69.74296600000001,45.088017,NE,4316,2
NY,Noble Chateaugay,-74.066795,44.921989,NE,37721,8
NY,unknown Niagara County,-78.493965,43.282898,NE,65262,1
NY,Maple Ridge (Lowville),-75.6353,43.835293,NE,33078,4
NY,Copenhagen,-75.592972,43.886776,NE,13173,4
ME,Bingham Wind,-69.65501400000001,45.159168,NE,4349,2
ME,Kibby Mountain II,-70.583199,45.331593,NE,27778,2
ME,Record Hill,-70.631897,44.671593,NE,45833,3
ME,Mars Hill,-67.814903,46.535091,NE,33377,3
ME,Mars Hill,-67.813599,46.538792,NE,33372,3
NY,Arkwright Summit,-79.2416,42.393955,NE,1736,1
NY,Noble Bliss,-78.27879300000002,42.544891,NE,37681,1
NY,Noble Clinton,-73.984299,44.89579000000001,NE,37788,8
NY,Maple Ridge,-75.56109599999998,43.778992,NE,32992,4
NY,Noble Clinton,-74.0047,44.94059,NE,37786,8
NY,Noble Wethersfield,-78.245094,42.659893,NE,38003,1
NY,unknown Erie County,-78.929062,42.977791,NE,63454,1
NY,Orangeville Wind,-78.244087,42.708202,NE,39658,1
NY,Arkwright Summit,-79.245026,42.427578,NE,1751,1
NY,Noble Wethersfield,-78.240196,42.609192,NE,37993,1
ME,Hancock,-68.179787,44.763466,NE,22692,3
MD,Fair Wind,-79.374527,39.338421,NE,17347,5
ME,Bingham Wind,-69.751671,45.086685,NE,4345,2
MA,Ipswich II,-70.846397,42.717293,NE,26272,0
NY,Noble Clinton,-74.005096,44.91679,NE,37828,8
ME,Rollins,-68.377098,45.33279,NE,47655,3
MA,Berkshire Wind,-73.274597,42.58989,NE,3480,0
