state,name,lon,lat,region,ID
IA,Adair,-94.665092,41.423695,EM,111
IA,Adair,-94.685692,41.471092,EM,112
IA,Adams,-94.724846,40.906811,EM,113
IA,Adams,-94.634842,40.919724,EM,114
IA,Adams,-94.673912,40.955795,EM,115
IA,Adams,-94.70916,40.929955,EM,116
IA,Adams,-94.664101,40.952431,EM,117
IA,Adams,-94.713112,40.929382,EM,118
IA,Adams,-94.728653,40.905937,EM,119
IA,Adams,-94.695923,40.901394,EM,120
IA,Adams,-94.649925,40.917538,EM,121
IA,Adams,-94.697762,40.927402,EM,122
IA,Adams,-94.656937,40.936432,EM,123
IA,Adams,-94.728088,40.916672,EM,124
IA,Adams,-94.615784,40.906044,EM,125
IA,Adams,-94.697464,40.908005,EM,126
IA,Adams,-94.732185,40.917294,EM,127
IA,Adams,-94.712463,40.923447,EM,128
IA,Adams,-94.664482,40.9258,EM,129
IA,Adams,-94.647606,40.912476,EM,130
IA,Adams,-94.669571,40.90250800000001,EM,131
IA,Adams,-94.657524,40.913597,EM,132
IA,Adams,-94.671776,40.91991,EM,133
IA,Adams,-94.640137,40.903938,EM,134
IA,Adams,-94.653526,40.913605,EM,135
IA,Adams,-94.65287,40.903233,EM,136
IA,Adams,-94.668625,40.956329,EM,137
IA,Adams,-94.634834,40.90395,EM,138
IA,Adams,-94.652222,40.935997,EM,139
IA,Adams,-94.648247,40.903282,EM,140
IA,Adams,-94.686043,40.907246,EM,141
IA,Adams,-94.639961,40.918289,EM,142
IA,Adams,-94.692009,40.902283,EM,143
IA,Adams,-94.716476,40.913757,EM,144
IA,Adams,-94.705017,40.916325,EM,145
IA,Adams,-94.734169,40.903179,EM,146
IA,Adams,-94.646027,40.917538,EM,147
IA,Adams,-94.675087,40.938133,EM,148
IA,Adams,-94.659653,40.925396,EM,149
IA,Adams,-94.667892,40.919884,EM,150
IA,Adams,-94.716339,40.92387,EM,151
IA,Adams,-94.649178,40.947777,EM,152
IA,Adams,-94.656776,40.95903,EM,153
IA,Adams,-94.619675,40.905975,EM,154
IA,Adams,-94.693748,40.927402,EM,155
IA,Adams,-94.72422,40.91663,EM,156
IA,Adams,-94.625618,40.912842,EM,157
IA,Adams,-94.653526,40.960594,EM,158
IA,Adams,-94.616638,40.913837,EM,159
IA,Adams,-94.675438,40.933098,EM,160
IA,Adams,-94.63047,40.912823,EM,161
IA,Adams,-94.68866,40.930119,EM,162
IA,Adams,-94.68663,40.934555,EM,163
IA,Adams,-94.725616,40.925251,EM,164
IA,Adams,-94.712288,40.912891,EM,165
IA,Adams,-94.662544,40.91256,EM,166
IA,Adams,-94.66095,40.906422,EM,167
IA,Adams,-94.678551,40.951794,EM,168
IA,Adams,-94.664093,40.931583,EM,169
IA,Adams,-94.666534,40.912037,EM,170
IA,Adams,-94.65696,40.905529,EM,171
IA,Adams,-94.693481,40.912636,EM,172
IA,Adams,-94.684853,40.925648,EM,173
IA,Adams,-94.721962,40.927204,EM,174
IA,Adams,-94.635033,40.914024,EM,175
IA,Adams,-94.665192,40.902493,EM,176
MN,"Adams Wind Generations, LLC",-94.727394,44.916992,EM,177
MN,"Adams Wind Generations, LLC",-94.710396,44.916992,EM,178
MN,"Adams Wind Generations, LLC",-94.731689,44.916992,EM,179
MN,"Adams Wind Generations, LLC",-94.732491,44.912594,EM,180
MN,"Adams Wind Generations, LLC",-94.735695,44.916992,EM,181
MN,"Adams Wind Generations, LLC",-94.711288,44.911694,EM,182
MN,"Adams Wind Generations, LLC",-94.715195,44.911694,EM,183
MN,"Adams Wind Generations, LLC",-94.718994,44.916691,EM,184
MN,"Adams Wind Generations, LLC",-94.729294,44.912594,EM,185
MN,"Adams Wind Generations, LLC",-94.72319,44.916992,EM,186
MN,"Adams Wind Generations, LLC",-94.735695,44.912594,EM,187
MN,"Adams Wind Generations, LLC",-94.71479,44.916992,EM,188
MN,Agassiz Beach,-96.435493,47.005192,EM,189
MN,Agassiz Beach,-96.435493,46.999592,EM,190
